Loading DQN checkpoint from pre_training/rules_bot/pretrained_agent.pth...
/Users/aidanperuch/Code/five_hundred/five_hundred/ppo_agent.py:303: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  dqn_checkpoint = torch.load(dqn_path, map_location=device)
Transferring shared trunk...
Transferring actor heads...
✅ Weight transfer complete!
⚠️  Critic heads initialized randomly (no DQN equivalent)
Update 154/7812: Reward=-674.924, SPS=153
Update 155/7812: Reward=-735.618, SPS=153
Update 156/7812: Reward=-741.139, SPS=153
Update 157/7812: Reward=-720.805, SPS=153
Update 158/7812: Reward=-712.347, SPS=153
Update 159/7812: Reward=-732.255, SPS=153
Update 160/7812: Reward=-728.010, SPS=153
Update 161/7812: Reward=-706.555, SPS=153
Update 162/7812: Reward=-741.339, SPS=152
Update 163/7812: Reward=-761.636, SPS=152
Update 164/7812: Reward=-724.666, SPS=152
Update 165/7812: Reward=-715.741, SPS=153
Update 166/7812: Reward=-725.762, SPS=153
Update 167/7812: Reward=-693.952, SPS=153
Update 168/7812: Reward=-701.900, SPS=153
Update 169/7812: Reward=-730.825, SPS=153
Update 170/7812: Reward=-744.725, SPS=153
Update 171/7812: Reward=-730.025, SPS=153
Update 172/7812: Reward=-715.536, SPS=153
Update 173/7812: Reward=-737.393, SPS=153
Update 174/7812: Reward=-728.805, SPS=153
Update 175/7812: Reward=-722.985, SPS=153
Update 176/7812: Reward=-714.586, SPS=153
Update 177/7812: Reward=-753.483, SPS=153
Update 178/7812: Reward=-715.931, SPS=153
Update 179/7812: Reward=-705.732, SPS=153
Update 180/7812: Reward=-735.808, SPS=153
Update 181/7812: Reward=-768.530, SPS=153
Update 182/7812: Reward=-726.799, SPS=153
Update 183/7812: Reward=-726.253, SPS=153
Update 184/7812: Reward=-731.594, SPS=153
Update 185/7812: Reward=-731.760, SPS=153
Update 186/7812: Reward=-704.122, SPS=153
Update 187/7812: Reward=-710.064, SPS=154
Update 188/7812: Reward=-744.572, SPS=154
Update 189/7812: Reward=-739.369, SPS=154
Update 190/7812: Reward=-727.257, SPS=154
Update 191/7812: Reward=-750.362, SPS=154
Update 192/7812: Reward=-758.393, SPS=154
Update 193/7812: Reward=-689.837, SPS=154
Update 194/7812: Reward=-739.133, SPS=154
Update 195/7812: Reward=-785.158, SPS=154
Update 196/7812: Reward=-718.310, SPS=154
Update 197/7812: Reward=-708.365, SPS=154
Update 198/7812: Reward=-775.282, SPS=154
Update 199/7812: Reward=-770.636, SPS=154
Update 200/7812: Reward=-718.019, SPS=154
Update 201/7812: Reward=-743.545, SPS=154
Update 202/7812: Reward=-753.381, SPS=154
Update 203/7812: Reward=-750.252, SPS=154
Update 204/7812: Reward=-691.508, SPS=154
Update 205/7812: Reward=-768.551, SPS=154
Update 206/7812: Reward=-747.901, SPS=154
Update 207/7812: Reward=-719.652, SPS=154
Update 208/7812: Reward=-737.901, SPS=154
Update 209/7812: Reward=-796.711, SPS=154
Update 210/7812: Reward=-717.902, SPS=154
Update 211/7812: Reward=-703.394, SPS=154
Update 212/7812: Reward=-766.636, SPS=154
Update 213/7812: Reward=-727.429, SPS=154
Update 214/7812: Reward=-680.207, SPS=154
Update 215/7812: Reward=-717.772, SPS=154
Update 216/7812: Reward=-755.085, SPS=154
Update 217/7812: Reward=-730.162, SPS=154
Update 218/7812: Reward=-670.420, SPS=154
Update 219/7812: Reward=-764.139, SPS=154
Update 220/7812: Reward=-744.031, SPS=155
Update 221/7812: Reward=-699.908, SPS=155
Update 222/7812: Reward=-763.238, SPS=155
Update 223/7812: Reward=-770.039, SPS=155
Update 224/7812: Reward=-701.137, SPS=155
Update 225/7812: Reward=-709.944, SPS=155
Update 226/7812: Reward=-759.720, SPS=155
Update 227/7812: Reward=-723.135, SPS=155
Update 228/7812: Reward=-688.298, SPS=155
Update 229/7812: Reward=-737.192, SPS=155
Update 230/7812: Reward=-759.115, SPS=155
Update 231/7812: Reward=-704.631, SPS=155
Update 232/7812: Reward=-700.112, SPS=155
Update 233/7812: Reward=-746.186, SPS=155
Update 234/7812: Reward=-732.171, SPS=155
Update 235/7812: Reward=-689.606, SPS=155
