Loading DQN checkpoint from pre_training/rules_bot/pretrained_agent.pth...
/Users/aidanperuch/Code/five_hundred/five_hundred/ppo_agent.py:303: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  dqn_checkpoint = torch.load(dqn_path, map_location=device)
Transferring shared trunk...
Transferring actor heads...
✅ Weight transfer complete!
⚠️  Critic heads initialized randomly (no DQN equivalent)
Update 95/7812: Reward=-178.843, SPS=146, OffWin=0.44, DefWin=0.00
Update 96/7812: Reward=-177.384, SPS=146, OffWin=0.29, DefWin=0.00
Update 97/7812: Reward=-191.855, SPS=147, OffWin=0.17, DefWin=0.00
Update 98/7812: Reward=-159.702, SPS=147, OffWin=0.57, DefWin=0.00
Update 99/7812: Reward=-71.094, SPS=147, OffWin=0.80, DefWin=0.00
Update 100/7812: Reward=-172.772, SPS=147, OffWin=0.29, DefWin=0.00
Update 101/7812: Reward=-233.101, SPS=147, OffWin=0.14, DefWin=0.00
Update 102/7812: Reward=-198.914, SPS=147, OffWin=0.00, DefWin=0.00
Update 103/7812: Reward=-126.457, SPS=148, OffWin=0.25, DefWin=0.00
Update 104/7812: Reward=-183.265, SPS=148, OffWin=0.43, DefWin=0.00
Update 105/7812: Reward=-205.732, SPS=148, OffWin=0.25, DefWin=0.00
Update 106/7812: Reward=-163.782, SPS=148, OffWin=0.29, DefWin=0.00
Update 107/7812: Reward=-207.785, SPS=148, OffWin=0.33, DefWin=0.00
Update 108/7812: Reward=-240.161, SPS=148, OffWin=0.17, DefWin=0.00
Update 109/7812: Reward=-194.657, SPS=149, OffWin=0.29, DefWin=0.00
Update 110/7812: Reward=-220.231, SPS=149, OffWin=0.00, DefWin=0.00
Update 111/7812: Reward=-187.718, SPS=149, OffWin=0.50, DefWin=0.00
Update 112/7812: Reward=-205.004, SPS=149, OffWin=0.33, DefWin=0.00
Update 113/7812: Reward=-192.746, SPS=149, OffWin=0.67, DefWin=0.00
